topic,notes
National Guard,"['Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41', 'Arkansas National Guard -- Note added 1/23/14 13:42', 'Delaware National Guard -- Note added 1/23/14 14:03', 'Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03', 'Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      -- Note added 6/17/15 13:20', 'Georgia National Guard -- Note added 1/23/14 13:59', 'Lousiana National Guard -- Note added 1/22/14 19:28', 'Idaho Army National Guard -- Note added 1/23/14 14:03', 'Iowa National Guard -- Note added 1/23/14 14:03', 'Kentucky National Guard -- Note added 1/23/14 14:03', 'Michigan National Guard -- Note added 1/23/14 14:03', ""Minnesota National Guard URL must have 'www' to resolve  -- Note added 4/26/15 5:37"", 'Missouri National Guard -- Note added 1/23/14 14:03', 'SC National Guard -- Note added 8/28/15 15:24', 'Tennessee National Guard -- Note added 6/26/14 7:13', 'Vermont National Guard -- Note added 1/23/14 14:03', 'Washington Air National Guard -- Note added 1/3/14 13:08', 'Washington Army National Guard -- Note added 1/23/14 14:03', 'Washington National Guard -- Note added 1/23/14 14:03', 'Montana Army National Guard -- Note added 3/2/15 6:52']"
State Board,"['Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46', 'Arkansas State Board of Optometry -- Note added 11/18/13 15:44', 'Arkansas State Board of Physical Therapy -- Note added 11/18/13 15:45', 'Arkansas State Board of Collection Agencies -- Note added 11/18/13 15:45', 'Arizona State Board of Dental Examiners -- Note added 12/11/13 13:50', 'GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. -- Note added 7/23/14 17:21', 'Kansas State Board of Healing Arts -- Note added 7/9/14 4:38', 'Kansas State Board of Nursing -- Note added 7/9/14 4:39', 'Louisiana State Board of Social Work Examiners -- Note added 8/24/15 14:41', ' Louisiana State Board of Chiropractic Examiners -- Note added 8/24/15 14:42', 'Louisiana State Board of Architectural Examiners -- Note added 1/14/14 14:13', 'Louisiana State Board of Examiners of Psychologists   -- Note added 8/24/15 14:55', 'Louisiana State Board of Examiners for Sanitarians -- Note added 9/23/15 16:47', 'Louisiana State Board of Examiners of Interior Designers -- Note added 9/23/15 16:48', 'Louisiana State Board of Private Investigator Examiners -- Note added 8/24/15 14:55', 'Mississippi State Board of Contractors -- Note added 7/25/14 12:48', 'North Carolina State Board of Dental Examiners -- Note added 9/14/15 20:40', 'North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors -- Note added 9/15/15 16:46', 'he North Carolina State Board of Examiners in Optometry -- Note added 9/15/15 16:58', 'NC State Board of Environmental Health Specialist Examiners -- Note added 11/19/13 20:40', 'The State Board of Refrigeration Examiners -- Note added 9/15/15 17:47', 'Florida State Board of Administration, created by the Florida Constitution and is governed by a three-member Board of Trustees (Trustees), comprised of the Governor as Chair, the Chief Financial Officer and the Attorney General. -- Note added 8/25/14 16:59', 'Washington State Board for Community and Technical Colleges -- Note added 4/8/14 18:22']"
Economic Development,"['Arkansas Economic Development Coorporation (AEDC) -- Note added 1/24/14 14:36', 'Maryland Department of Business and Economic Development -- Note added 1/10/14 19:17', 'Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59', 'Iowa Economic Development Authority -- Note added 11/21/13 15:05', 'Nebraska Department of Economic Development -- Note added 12/6/13 19:50', 'Pennsylvania Department of Community & Economic Development -- Note added 6/6/13 18:08', 'New Jersey Economic Development Authority -- Note added 9/16/15 15:52', 'U.S. Virgin Islands Economic Development Authority -- Note added 8/18/14 14:12', ""Virginia Economic Development Partnership's Ally Information Exchange -- Note added 7/11/14 20:17"", 'Washington Economic Development Finance Authority -- Note added 11/12/14 6:21', 'Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30', 'Virginia Economic Development Partnership. As a state authority, the Partnership is governed by a 25 member http://yesvirginia.org/AboutUs/BoardOfDirectors Board Of Directors comprised of businesspersons from around Virginia, each of whom is appointed by the http://www.governor.virginia.gov Governor and the General Assembly.  -- Note added 11/20/13 18:52']"
New York State,"['New York State Public Service Commission’s Consumer Web Site -- Note added 1/10/14 19:17', 'New York State Conference of Mayors and Municipal Officials (NYCOM) -- Note added 7/2/15 10:49', 'New York State Council on the Arts -- Note added 7/2/15 10:51', 'New York State eGovernment listing of state agencies -- Note added 9/25/13 15:35', 'New York State Fair -- Note added 6/12/13 18:48', 'New York State Homes and Community Renewal -- Note added 9/9/15 13:48', 'New York State Local Government IT Directors Association (NYSLGITDA) -- Note added 7/2/15 10:59', 'New York State Police Recruitment Center -- Note added 1/3/14 13:14']"
North Carolina,"['USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19', 'North Carolina Board of Massage & Bodywork Therapy -- Note added 9/11/15 18:20', 'College Foundation of North Carolina, a service of the State of North Carolina -- Note added 7/24/13 16:09', 'North Carolina DOT Complete Streets -- Note added 1/22/14 18:53', 'Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00', 'Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56', 'Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services -- Note added 6/28/13 16:56', 'Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. -- Note added 11/20/13 19:54', 'The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33', 'Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities -- Note added 9/22/15 17:00', 'North Carolina Education Lottery -- Note added 6/12/13 14:18', 'North Carolina Alcoholic Beverage Control Commission -- Note added 9/11/15 20:30', 'Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services -- Note added 7/26/13 15:42', 'North Carolina Division of Air Quality -- Note added 3/20/14 15:16', 'The North Carolina Auctioneers board -- Note added 9/11/15 20:32', 'North Carolina Arts Council -- Note added 11/20/13 12:24', 'North Carolina Board of Architecture -- Note added 9/11/15 20:37', 'North Carolina Board of Dietetics/Nutrition   -- Note added 9/11/15 20:38', 'The North Carolina Board for the Licensing of Geologists  -- Note added 9/14/15 20:27', 'The North Carolina Board of Licensed Professional Counselors -- Note added 9/14/15 20:28', 'The North Carolina Soil Scientist Licensing Program -- Note added 9/14/15 20:28', 'The North Carolina Board of Occupational Therapy -- Note added 9/14/15 20:32', 'The Board of Podiatry Examiners for the State of North Carolina  -- Note added 9/14/15 20:32', 'Rail Division, North Carolina Department of Transportation -- Note added 7/24/13 16:07', 'North Carolina Social Work Certification and Licensure Board -- Note added 9/22/15 14:10', 'The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. -- Note added 9/14/15 20:47', 'North Carolina Board of Chiropractic Examiners -- Note added 9/14/15 20:37', 'North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources -- Note added 11/12/15 14:54', 'North Carolina Office of the Commissioner of Banks (NCCOB) -- Note added 11/19/13 18:51', 'North Carolina Department of Commerce -- Note added 7/24/13 16:42', 'North Carolina State Board of Dental Examiners -- Note added 9/14/15 20:40', 'This site is a tool for North Carolina citizens and providers to reduce the impact of diabetes through leadership, education, communication and community involvement. -- Note added 9/14/15 20:41', 'North Carolina Department of Insurance -- Note added 11/19/13 20:06', 'North Carolina Drought Management Advisory Council -- Note added 11/12/15 14:05', 'The North Carolina Office of EMS -- Note added 9/15/15 16:07', 'The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. -- Note added 9/15/15 16:34', 'North Carolina Farm Fresh is a directory of pick-your-own farms, roadside farm markets, and farmers markets throughout North Carolina. It is designed to help the consumer, find the freshest locally grown fruits, vegetables, christmas trees, ornamental plants, flowers, and herbs. -- Note added 9/15/15 16:34', 'NC Farm to School program, North Carolina Department of Agriculture and Consumer Services -- Note added 6/12/13 18:34', 'North Carolina Farmworker Health Program (NCFHP), a statewide Migrant Health Voucher Program within the Office of Rural Health -- Note added 11/12/15 13:44', 'North Carolina Forest Action Plan, North Carolina Forest Service -- Note added 11/12/15 13:40', 'North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  -- Note added 11/12/15 13:39', 'State of North Carolina -- Note added 1/14/14 13:05', 'The North Carolina Global TransPark -- Note added 9/15/15 16:39', 'North Carolina Home Inspetor Licensure Board -- Note added 11/20/13 12:38', 'The North Carolina Interpreters & Transliterators Licensing Board -- Note added 9/15/15 16:45', ""NCknows is a service that allows North Carolina residents to get help from librarians and use their library resources remotely through a computer. NCknows is a pilot project supported by a grant under the Federally-funded Library Services and Technology Act (LSTA). The project is administered by the State Library of North Carolina in Raleigh with help from a committee of librarians and directors from North Carolina's libraries. -- Note added 11/12/15 13:22"", 'North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors -- Note added 9/15/15 16:46', 'North Carolina League of Municipalities -- Note added 6/6/13 18:08', 'the board of Marriage and family therapy of North Carolina -- Note added 9/15/15 16:48', 'The North Carolina Locksmith Licensing Board -- Note added 9/15/15 16:48', 'State of North Carolina Office of Information Technology Services -- Note added 9/15/15 16:49', 'North Carolina Maritime Museum System -- Note added 8/2/13 15:50', 'North Carolina Highway Historical Marker Program, NC Department of Cultural Resources -- Note added 11/12/15 13:19', 'The North Carolina Natural Heritage Program -- Note added 9/15/15 16:56', ""Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  -- Note added 11/12/15 13:15"", 'North Carolina Office of Administrative Hearings -- Note added 9/15/15 16:57', 'he North Carolina State Board of Examiners in Optometry -- Note added 9/15/15 16:58', 'The North Carolina Board of Physical Therapy Examiners -- Note added 9/15/15 17:04', 'Historical Publications, North Carolina Office of Archives and History, Department of Cultural Resources - www.ncpublications.com -- Note added 6/6/13 18:34', 'North Carolina Division of Public Health -- Note added 7/26/13 15:09', 'the North Carolina Respiratory Care   -- Note added 9/15/15 17:13', 'North Carolina Rural Electrification Authority -- Note added 9/15/15 17:14', ""North Carolina Seniors' Health Insurance Information Program (SHIIP) -- Note added 1/22/14 19:19"", 'North Carolina Sickle Cell Syndrome Program, NC Department of Public Health -- Note added 11/12/15 13:09', 'The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19', 'Thank you for visiting ACCESSNC, your one-stop source for North Carolina economic data and site information. -- Note added 9/15/15 17:19', 'North Carolina Social Work Certification and Licensure Board -- Note added 9/22/15 14:12', 'State of North Carolina Japan Office -- Note added 7/24/13 16:40', 'North Carolina Department of State Treasurer -- Note added 6/6/13 18:09', 'North Carolina Veterinary Medical Board -- Note added 9/15/15 17:30', 'North Carolina Division of Water Resources -- Note added 11/12/15 12:58', 'North Carolina Well Contractors Certification Commission - protects the public health and safety by ensuring the integrity and competence of well contractors through examination, certification, continuing education and enforcement. The Well Contractors Certification Unit is now part of the Department of Health and Human Services. -- Note added 11/12/15 12:57', 'NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources -- Note added 11/12/15 12:48', 'North Carolina Division of Environmental Assistance and Customer Service   -- Note added 9/15/15 17:43', ""Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34"", 'School Planning Section, North Carolina Department of Public Instruction -- Note added 8/25/14 15:01', 'North Carolina State Health Plan for Teachers and State Employees -- Note added 7/25/14 15:10', ""Start Squad, kid's portal to the State Library of North Carolina -- Note added 8/25/14 12:12"", 'Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33', 'North Carolina Commission on Volunteerism and Community Service -- Note added 11/10/15 20:34', 'The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. -- Note added 8/13/14 17:41']"
Carolina Department,"['USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19', 'Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00', 'Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56', 'Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services -- Note added 6/28/13 16:56', 'South Carolina Department of Labor, Licensing and Regulation -- Note added 1/17/14 15:50', 'Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services -- Note added 7/26/13 15:42', 'Rail Division, North Carolina Department of Transportation -- Note added 7/24/13 16:07', 'North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources -- Note added 11/12/15 14:54', 'North Carolina Department of Commerce -- Note added 7/24/13 16:42', 'North Carolina Department of Insurance -- Note added 11/19/13 20:06', 'NC Farm to School program, North Carolina Department of Agriculture and Consumer Services -- Note added 6/12/13 18:34', 'The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19', 'North Carolina Department of State Treasurer -- Note added 6/6/13 18:09', 'NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources -- Note added 11/12/15 12:48', ""Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34"", 'School Planning Section, North Carolina Department of Public Instruction -- Note added 8/25/14 15:01', 'South Carolina Department of Revenue -- Note added 8/25/14 15:04']"
North Carolina Department,"['USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19', 'Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00', 'Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56', 'Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services -- Note added 6/28/13 16:56', 'Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services -- Note added 7/26/13 15:42', 'Rail Division, North Carolina Department of Transportation -- Note added 7/24/13 16:07', 'North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources -- Note added 11/12/15 14:54', 'North Carolina Department of Commerce -- Note added 7/24/13 16:42', 'North Carolina Department of Insurance -- Note added 11/19/13 20:06', 'NC Farm to School program, North Carolina Department of Agriculture and Consumer Services -- Note added 6/12/13 18:34', 'The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19', 'North Carolina Department of State Treasurer -- Note added 6/6/13 18:09', 'NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources -- Note added 11/12/15 12:48', ""Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34"", 'School Planning Section, North Carolina Department of Public Instruction -- Note added 8/25/14 15:01']"
Department Cultural Resources,"['USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19', 'North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources -- Note added 11/12/15 14:54', 'North Carolina Highway Historical Marker Program, NC Department of Cultural Resources -- Note added 11/12/15 13:19', 'Historical Publications, North Carolina Office of Archives and History, Department of Cultural Resources - www.ncpublications.com -- Note added 6/6/13 18:34', ""Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life -- Note added 11/20/13 17:34""]"
North Carolina Board,"['North Carolina Board of Massage & Bodywork Therapy -- Note added 9/11/15 18:20', 'North Carolina Board of Architecture -- Note added 9/11/15 20:37', 'North Carolina Board of Dietetics/Nutrition   -- Note added 9/11/15 20:38', 'The North Carolina Board for the Licensing of Geologists  -- Note added 9/14/15 20:27', 'The North Carolina Board of Licensed Professional Counselors -- Note added 9/14/15 20:28', 'The North Carolina Board of Occupational Therapy -- Note added 9/14/15 20:32', 'North Carolina Board of Chiropractic Examiners -- Note added 9/14/15 20:37', 'The North Carolina Board of Physical Therapy Examiners -- Note added 9/15/15 17:04']"
South Carolina,"['Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30', 'South Carolina Department of Labor, Licensing and Regulation -- Note added 1/17/14 15:50', 'South Carolina Ports Authority -- Note added 6/6/13 18:08', ""Santee Cooper, also known officially from the 1930s as the South Carolina Public Service Authority, is South Carolina's state-owned electric and water utility that came into being during the New Deal. -- Note added 8/25/14 16:04"", 'South Carolina Education Lottery -- Note added 6/12/13 14:24', 'South Carolina Emergency Management Division -- Note added 8/28/15 15:20', 'South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:16', 'South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:17', 'The South Carolina EPSCoR/IDeA Program, CCCR COBRE, and the USC School of Medicine Instrumentation Resource Facility -- Note added 8/28/15 15:28', 'South Carolina School for the Deaf and Blind -- Note added 8/25/14 15:03', 'South Carolina Statewide Independent Living Council (SILC) -- Note added 9/22/15 15:19', 'South Carolina Department of Revenue -- Note added 8/25/14 15:04', 'South Carolina Higher EducationTuition Grants Commission -- Note added 8/28/15 15:30']"
Washington State,"['Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13', 'Travel and tourism site for Washington State -- Note added 6/6/13 19:36', 'Washington State University Extension -- Note added 11/20/14 7:10', 'Washington State Potato Commission -- Note added 11/17/14 7:11', 'Washington State Board for Community and Technical Colleges -- Note added 4/8/14 18:22', 'Washington State Tobacco Settlement Authority -- Note added 4/8/14 18:29', 'Washington State Lottery -- Note added 12/2/14 7:23', 'Washington State Seed Potato Commission -- Note added 11/12/14 6:26', 'Washington State Wine Commission -- Note added 11/12/14 6:23', 'Washington State Convention Center -- Note added 11/6/14 7:30', 'Washington State Commission on Pesticide Registration -- Note added 11/6/14 7:32', 'Washington State Housing Finance Commission -- Note added 11/6/14 7:27', 'Washington State School for the Blind -- Note added 7/31/13 16:31']"
State University Extension,"['Washington State University Extension -- Note added 11/20/14 7:10', 'Iowa State University Extension -- Note added 8/25/15 20:26', 'Oregon State University Extension Service -- Note added 6/20/14 16:52', 'Mississippi State University Extension -- Note added 7/25/14 12:52', 'Michigan State University Extension -- Note added 11/19/13 13:43', 'Montana State University Extension -- Note added 11/22/13 13:44']"
West Virginia,"['West Virginia University Extension Service -- Note added 7/24/14 5:33', 'West Virginia Department of Agriculture -- Note added 3/31/14 13:07', 'West Virginia Department of Commerce -- Note added 3/24/14 16:50', 'West Virginia Division of Culture and History -- Note added 3/31/14 13:08', 'West Virginia Department of Health and Human Resources -- Note added 7/24/14 5:50', 'West Virginia Housing Development Fund -- Note added 7/24/14 5:51', 'West Virginia Higher Education Policy Commission -- Note added 3/31/14 13:12', 'West Virginia Department of Commerce, Division of Labor -- Note added 7/24/14 5:52', 'West Virginia Lottery -- Note added 6/12/13 14:29', 'West Virginia Network for Educational Telecomputing -- Note added 7/24/14 5:54', 'West Virginia Consolidated Public Retirement Board -- Note added 3/31/14 13:33', 'West Virginia State Parks -- Note added 3/31/14 13:34', ""West Virginia State Treasurer's Office -- Note added 3/31/14 13:35"", 'Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18', 'West Virginia Water Development Authority -- Note added 7/24/14 5:57']"
Cooperative Extension Service,"['New Mexico Cooperative Extension Service -- Note added 7/25/13 17:39', 'University of Delaware Cooperative Extension Service -- Note added 6/7/13 16:52', 'University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service -- Note added 12/10/14 7:11', 'University of Alaska Fairbanks Cooperative Extension Service -- Note added 6/7/13 16:34', 'University of Wyoming Cooperative Extension Service -- Note added 7/23/14 5:39']"
Development Authority,"['Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59', 'Iowa Economic Development Authority -- Note added 11/21/13 15:05', 'Louisiana Community Development Authority -- Note added 9/23/15 12:18', 'Mississippi Development Authority -- Note added 7/25/14 12:42', 'New Jersey Economic Development Authority -- Note added 9/16/15 15:52', 'South Dakota Housing Development Authority -- Note added 7/17/14 5:54', 'U.S. Virgin Islands Economic Development Authority -- Note added 8/18/14 14:12', 'Virginia Housing Development Authority -- Note added 7/11/14 19:10', 'Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30', 'West Virginia Water Development Authority -- Note added 7/24/14 5:57']"
Economic Development Authority,"['Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59', 'Iowa Economic Development Authority -- Note added 11/21/13 15:05', 'New Jersey Economic Development Authority -- Note added 9/16/15 15:52', 'U.S. Virgin Islands Economic Development Authority -- Note added 8/18/14 14:12', 'Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30']"
The North,"['The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33', 'The North Carolina Auctioneers board -- Note added 9/11/15 20:32', 'The North Carolina Board for the Licensing of Geologists  -- Note added 9/14/15 20:27', 'The North Carolina Board of Licensed Professional Counselors -- Note added 9/14/15 20:28', 'The North Carolina Soil Scientist Licensing Program -- Note added 9/14/15 20:28', 'The North Carolina Board of Occupational Therapy -- Note added 9/14/15 20:32', 'The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. -- Note added 9/14/15 20:47', 'The North Carolina Office of EMS -- Note added 9/15/15 16:07', 'The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. -- Note added 9/15/15 16:34', 'The North Carolina Global TransPark -- Note added 9/15/15 16:39', 'The North Carolina Interpreters & Transliterators Licensing Board -- Note added 9/15/15 16:45', 'The North Carolina Locksmith Licensing Board -- Note added 9/15/15 16:48', 'The North Carolina Natural Heritage Program -- Note added 9/15/15 16:56', 'The North Carolina Board of Physical Therapy Examiners -- Note added 9/15/15 17:04', 'The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19', 'The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. -- Note added 8/13/14 17:41']"
The North Carolina,"['The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33', 'The North Carolina Auctioneers board -- Note added 9/11/15 20:32', 'The North Carolina Board for the Licensing of Geologists  -- Note added 9/14/15 20:27', 'The North Carolina Board of Licensed Professional Counselors -- Note added 9/14/15 20:28', 'The North Carolina Soil Scientist Licensing Program -- Note added 9/14/15 20:28', 'The North Carolina Board of Occupational Therapy -- Note added 9/14/15 20:32', 'The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. -- Note added 9/14/15 20:47', 'The North Carolina Office of EMS -- Note added 9/15/15 16:07', 'The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. -- Note added 9/15/15 16:34', 'The North Carolina Global TransPark -- Note added 9/15/15 16:39', 'The North Carolina Interpreters & Transliterators Licensing Board -- Note added 9/15/15 16:45', 'The North Carolina Locksmith Licensing Board -- Note added 9/15/15 16:48', 'The North Carolina Natural Heritage Program -- Note added 9/15/15 16:56', 'The North Carolina Board of Physical Therapy Examiners -- Note added 9/15/15 17:04', 'The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19', 'The Way We Lived in North Carolina, presented by http://www.ah.dcr.state.nc.us/ The North Carolina Office of Archives & History. -- Note added 8/13/14 17:41']"
North Carolina Division,"['The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33', 'Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities -- Note added 9/22/15 17:00', 'North Carolina Division of Air Quality -- Note added 3/20/14 15:16', 'North Carolina Division of Public Health -- Note added 7/26/13 15:09', 'North Carolina Division of Water Resources -- Note added 11/12/15 12:58', 'North Carolina Division of Environmental Assistance and Customer Service   -- Note added 9/15/15 17:43']"
State North Carolina,"['Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities -- Note added 9/22/15 17:00', 'The Board of Podiatry Examiners for the State of North Carolina  -- Note added 9/14/15 20:32', 'State of North Carolina -- Note added 1/14/14 13:05', 'State of North Carolina Office of Information Technology Services -- Note added 9/15/15 16:49', 'State of North Carolina Japan Office -- Note added 7/24/13 16:40']"
Board Examiners,"['LA Board of Examiners of Nursing Facility Administrators -- Note added 9/22/15 20:03', 'Louisiana Board of Examiners of Certified Shorthand Reporters -- Note added 9/23/15 12:16', 'Louisiana Board of Examiners in Dietetics and Nutrition  -- Note added 8/24/15 14:48', 'Licensed Professional Counselors Board of Examiners -- Note added 8/24/15 14:53', 'LLPVRC Board of Examiners -- Note added 8/24/15 14:54', 'Louisiana State Board of Examiners of Psychologists   -- Note added 8/24/15 14:55', 'Louisiana State Board of Examiners for Sanitarians -- Note added 9/23/15 16:47', 'Louisiana State Board of Examiners of Interior Designers -- Note added 9/23/15 16:48', 'NC Board of Examiners of electrical contractors -- Note added 9/11/15 20:39', 'NC Board of Examiners for engineers and surveyors -- Note added 9/11/15 20:40', 'NC Board of Examiners for Speech Language and Pathologist & Audiologist n  -- Note added 9/14/15 20:30', 'North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors -- Note added 9/15/15 16:46', 'he North Carolina State Board of Examiners in Optometry -- Note added 9/15/15 16:58']"
Louisiana State Board,"['Louisiana State Board of Social Work Examiners -- Note added 8/24/15 14:41', ' Louisiana State Board of Chiropractic Examiners -- Note added 8/24/15 14:42', 'Louisiana State Board of Architectural Examiners -- Note added 1/14/14 14:13', 'Louisiana State Board of Examiners of Psychologists   -- Note added 8/24/15 14:55', 'Louisiana State Board of Examiners for Sanitarians -- Note added 9/23/15 16:47', 'Louisiana State Board of Examiners of Interior Designers -- Note added 9/23/15 16:48', 'Louisiana State Board of Private Investigator Examiners -- Note added 8/24/15 14:55']"
